,SCR,FCR,Total
Aquisicoes,25.4,158.8,184.2
Alienacoes ,30.3,50.9,81.2
Investimento Liquido,-4.9,107.9,103
Valor das Transacoes,55.7,209.7,265.4
Rotacao das Carteiras,7.50%,17.60%,13.80%
