,N.. Transaccoes SCR,Preco Venda SCR,(%) 1 SCR,N.. Transaccoes FCR,Preco Venda FCR,(%) 1 FCR,N.. Transaccoes Total,Preco Venda Total,(%) 1 Total
Contrato de venda a prazo,0,0,0,1,1300.8,0.02554314529,1,1300.8,0.01601834327
Recompra (pela equipa de gestao ou accionistas),10,6923.8,0.2286493645,24,34043.9,0.6685026784,34,40967.7,0.5044854563
Venda a terceiros,13,23333.5,0.7705580672,27,14768.7,0.2900054197,40,38102.2,0.4691990459
IPO,0,0,0,0,0,0,0,0,0
Nao definido,1,20.1,0.0006637759938,9,806.6,0.01583879228,10,826.7,0.01018016942
Write off (2),5,3.9,0.000128792357,9,5.6,0.0001099643401,14,9.5,0.000116985133
Total,29,30281.3,1,70,50925.6,1,99,81206.9,1
